# data from sep on SN18835 as observed by sdss with a SB cutoff of 2 mag/sqr-arcsec on 2016-06-01
# thresh, npix, tnpix, xmin, xmax, ymin, ymax, x, y, x2, y2, xy, a, b, theta, cxx, cyy, cxy, cflux, flux, cpeak, peak, xcpeak, ycpeak, xpeak, ypeak, flag
6.423677444458007812e+00,2.700000000000000000e+01,2.400000000000000000e+01,1.703000000000000000e+03,1.711000000000000000e+03,0.000000000000000000e+00,3.000000000000000000e+00,1.707711147790429095e+03,9.612698684422317230e-01,3.677807308266618946e+00,7.761712760274770417e-01,9.849040487343074801e-02,1.918631434440612793e+00,8.791086673736572266e-01,3.389105945825576782e-02,2.728282511234283447e-01,1.292768478393554688e+00,-6.923978030681610107e-02,4.271605529785156250e+02,5.084534301757812500e+02,2.781011390686035156e+01,4.804039382934570312e+01,1.708000000000000000e+03,1.000000000000000000e+00,1.708000000000000000e+03,0.000000000000000000e+00,2.000000000000000000e+00
6.423677444458007812e+00,2.900000000000000000e+01,2.600000000000000000e+01,2.770000000000000000e+02,2.820000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,2.794944038267177575e+02,2.440631982440488734e+00,1.834860543611427808e+00,1.683331059340630098e+00,2.530078780093649726e-01,1.422393798828125000e+00,1.222696781158447266e+00,6.399193406105041504e-01,5.565347671508789062e-01,6.066327095031738281e-01,-1.672964692115783691e-01,3.810632324218750000e+02,4.079452209472656250e+02,2.675910568237304688e+01,3.545965576171875000e+01,2.800000000000000000e+02,2.000000000000000000e+00,2.800000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+00
6.423677444458007812e+00,6.200000000000000000e+01,5.700000000000000000e+01,5.570000000000000000e+02,5.670000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00,5.620548995156751744e+02,1.712564770532259084e+00,2.647950372174388889e+00,1.736457722035913864e+00,5.389329917607810216e-02,1.628227829933166504e+00,1.316541790962219238e+00,5.885310843586921692e-02,3.778892755508422852e-01,5.762490034103393555e-01,-2.345660328865051270e-02,5.153292968750000000e+03,5.472195800781250000e+03,4.071379394531250000e+02,5.587065429687500000e+02,5.620000000000000000e+02,1.000000000000000000e+00,5.620000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
6.423677444458007812e+00,1.800000000000000000e+01,1.800000000000000000e+01,8.440000000000000000e+02,8.470000000000000000e+02,2.000000000000000000e+00,7.000000000000000000e+00,8.452026574513591868e+02,4.924992817868682593e+00,8.456529428652066471e-01,1.869205155620196734e+00,1.361461452234307146e-01,1.373682975769042969e+00,9.098644256591796875e-01,1.440793871879577637e+00,1.196549296379089355e+00,5.413346290588378906e-01,-1.743046492338180542e-01,1.823128509521484375e+02,2.109755096435546875e+02,1.490821743011474609e+01,2.085539436340332031e+01,8.450000000000000000e+02,5.000000000000000000e+00,8.450000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00
6.423677444458007812e+00,1.500000000000000000e+01,1.100000000000000000e+01,6.000000000000000000e+02,6.040000000000000000e+02,6.000000000000000000e+00,9.000000000000000000e+00,6.021920408323109086e+02,7.464419221122375880e+00,1.103486689644172181e+00,8.864247680923260653e-01,3.195666031187327505e-02,1.052660346031188965e+00,9.390515089035034180e-01,1.431774646043777466e-01,9.071655869483947754e-01,1.129306316375732422e+00,-6.540878117084503174e-02,1.506422119140625000e+02,1.698539886474609375e+02,1.526637840270996094e+01,1.997002410888671875e+01,6.020000000000000000e+02,8.000000000000000000e+00,6.020000000000000000e+02,8.000000000000000000e+00,0.000000000000000000e+00
6.423677444458007812e+00,2.900000000000000000e+01,2.300000000000000000e+01,1.581000000000000000e+03,1.586000000000000000e+03,4.000000000000000000e+00,9.000000000000000000e+00,1.583582260139551181e+03,6.166068174061051899e+00,1.523460993877157499e+00,1.570974429884898882e+00,8.524699562341364611e-02,1.278949975967407227e+00,1.207775831222534180e+00,9.212907552719116211e-01,6.583992838859558105e-01,6.384862661361694336e-01,-7.145445793867111206e-02,5.118843078613281250e+02,5.379652099609375000e+02,4.214352035522460938e+01,5.766888809204101562e+01,1.584000000000000000e+03,6.000000000000000000e+00,1.583000000000000000e+03,6.000000000000000000e+00,0.000000000000000000e+00
6.423677444458007812e+00,4.000000000000000000e+01,3.700000000000000000e+01,3.210000000000000000e+02,3.270000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+01,3.240508134025559457e+02,6.894556646474610417e+00,1.924207583766655461e+00,2.008975264300481456e+00,2.784612915394824029e-02,1.420318365097045898e+00,1.384152650833129883e+00,1.280156612396240234e+00,5.197986960411071777e-01,4.978660643100738525e-01,-1.440971624106168747e-02,9.042575683593750000e+02,9.425533447265625000e+02,6.588679504394531250e+01,8.623506927490234375e+01,3.240000000000000000e+02,7.000000000000000000e+00,3.240000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00
6.423677444458007812e+00,2.600000000000000000e+01,2.100000000000000000e+01,5.840000000000000000e+02,5.890000000000000000e+02,6.000000000000000000e+00,1.100000000000000000e+01,5.867451359564672657e+02,8.476332824077157824e+00,1.457461654787691074e+00,1.915373678258640133e+00,1.084436012343514832e-01,1.392751574516296387e+00,1.197112441062927246e+00,1.349625706672668457e+00,6.890270113945007324e-01,5.243000388145446777e-01,-7.802192866802215576e-02,3.037638244628906250e+02,3.297634277343750000e+02,2.094095230102539062e+01,2.647637176513671875e+01,5.870000000000000000e+02,8.000000000000000000e+00,5.870000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00
6.423677444458007812e+00,3.600000000000000000e+01,3.300000000000000000e+01,5.110000000000000000e+02,5.160000000000000000e+02,6.000000000000000000e+00,1.200000000000000000e+01,5.134261444909095644e+02,9.260064612579100185e+00,1.809374119282053606e+00,2.359559607996011721e+00,2.254943382942800056e-01,1.562103867530822754e+00,1.314825177192687988e+00,1.227476358413696289e+00,5.593390464782714844e-01,4.289163053035736084e-01,-1.069079041481018066e-01,6.218617553710937500e+02,6.510676879882812500e+02,3.611348724365234375e+01,4.632448577880859375e+01,5.130000000000000000e+02,9.000000000000000000e+00,5.140000000000000000e+02,9.000000000000000000e+00,0.000000000000000000e+00
6.423677444458007812e+00,1.600000000000000000e+01,1.100000000000000000e+01,1.904000000000000000e+03,1.907000000000000000e+03,8.000000000000000000e+00,1.200000000000000000e+01,1.905523356086733656e+03,9.993041255253684696e+00,8.536757972141608697e-01,1.234056938880858656e+00,2.515524495654197779e-02,1.111626386642456055e+00,9.230489730834960938e-01,1.505046248435974121e+00,1.172108888626098633e+00,8.108224272727966309e-01,-4.778496921062469482e-02,1.669302368164062500e+02,1.812418823242187500e+02,1.726989936828613281e+01,2.442440414428710938e+01,1.906000000000000000e+03,1.000000000000000000e+01,1.906000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00
