#The SNR and color analysis of local environment around SDSS SNIa viewed by HST                 ,,,,,,,,,,,,,,,,
#snid, sdss g mag, sdss g uncert, sdss r mag, sdss r uncert, sdss color, sdss c olor uncert,   hst size, F475W mag, F475W SNR, F625W mag, F625W SNR, hst color, hst color uncert, use, color, color uncert
#    ,      [mag],         [mag],      [mag],         [mag],      [mag],              [mag], [1 2 or 3],     [mag],          ,     [mag],          ,     [mag],            [mag],    , [mag],        [mag]
17886,22.4271471459,0.0250393194,21.4786247843,0.0159790676,0.9485223616,0.0297035034,2,18.2051601603,15.9086902319,17.2067717564,25.4127914226,0.998388404,0.0800924865,hst,0.998388404,0.0800924865
18030,22.8514154403,0.0440163326,22.3919339673,0.0331865517,0.459481473,0.0551251735,3,18.3971124795,12.0189079655,18.198117551,12.4082939233,0.1989949285,0.1251009388,hst,0.1989949285,0.1251009388
18241,22.3440124373,0.0340587574,21.7416097512,0.0244480252,0.6024026862,0.0419249912,1,19.8071090489,14.5579997994,19.0228938427,20.6505316784,0.7842152062,0.0907675018,hst,0.7842152062,0.0907675018
18323,24.6839218461,0.1883164525,23.8165062336,0.0994956594,0.8674156125,0.2129846767,0,,-0.5384491278,inf,2.2624724759,,2.0617812601,hst,,2.0617812601
18415,23.3303488607,0.0717613811,22.1407627225,0.0419044775,1.1895861383,0.0831004275,3,,6.3224825729,,17.3178727121,,,sdss,1.1895861383,0.0831004275
18602,23.6913090727,0.0983612502,23.1064743809,0.0654996372,0.5848346918,0.1181741851,3,,8.9001903671,,12.8767922432,,,sdss,0.5848346918,0.1181741851
18835,22.4157431255,0.0192632402,21.3892621878,0.009526529,1.0264809377,0.0214901647,1,19.8939214259,13.2669464247,19.0896812755,19.2700270113,0.8042401503,0.0988328582,hst,0.8042401503,0.0988328582
19023,26.7182185536,1.5980406874,,2.4729277707,,2.9443345255,0,,-1.902006774,inf,0.002197019,,491.5755081703,hst,,491.5755081703
19048,22.3620322853,0.0313633718,21.7069252895,0.0210435208,0.6551069958,0.0377689139,1,20.1635771974,11.7444382508,19.7082845982,13.9463094625,0.4552925992,0.1202217965,hst,0.4552925992,0.1202217965
19174,20.9061750894,0.0086665999,19.7202830912,0.0055881442,1.1858919982,0.0103119983,1,19.3015408873,19.2210872433,18.1064186733,32.8416970693,1.195122214,0.0651041366,hst,1.195122214,0.0651041366
19282,25.0147516685,0.3340260462,27.6896720614,3.5367438457,-2.6749203929,3.5524822913,0,,-0.7455957813,inf,0.7563544906,,2.0339797342,hst,,2.0339797342
19323,22.9472779205,0.0468604649,22.5545741764,0.0551829435,0.3927037441,0.0723951685,2,18.8962116342,12.2436025481,18.5165749871,13.7702978464,0.3796366471,0.1180343184,hst,0.3796366471,0.1180343184
19616,25.0533171734,0.1996850098,24.5274649505,0.1635280105,0.5258522229,0.2580998128,3,,3.6710599251,,3.1694069958,,,sdss,0.5258522229,0.2580998128
20350,24.3756614595,0.1894528075,23.0765709239,0.0675343176,1.2990905356,0.2011299339,3,,1.0607126795,,5.7505505171,,,sdss,1.2990905356,0.2011299339
20874,22.7767553895,0.0356124562,22.2595804668,0.0273171325,0.5171749227,0.0448828783,2,18.5039496206,17.2453239129,17.9902402412,21.4617326407,0.5137093793,0.0803386028,hst,0.5137093793,0.0803386028
2102,25.7770697288,0.5310626327,24.6604861902,0.2443125183,1.1165835386,0.5845649035,3,,10.6127864906,,5.2488349921,,,sdss,1.1165835386,0.5845649035
2440,22.9039134983,0.0322727821,22.3604534151,0.0270316498,0.5434600832,0.0420980113,3,,10.7411891056,,22.6864491102,,,sdss,0.5434600832,0.0420980113
2561,23.5049136374,0.0706520766,22.7553608804,0.053341047,0.749552757,0.0885267373,2,18.8780959293,13.6947881321,18.3998774652,16.4328363331,0.4782184641,0.1026578005,hst,0.4782184641,0.1026578005
2635,23.777990406,0.0847145916,23.3245821751,0.0617827995,0.4534082309,0.1048507336,2,18.9963901944,12.1392603894,18.3598740872,16.7381526755,0.6365161072,0.109902097,hst,0.6365161072,0.109902097
2992,22.8576326908,0.0416919377,22.0680763766,0.022417791,0.7895563142,0.0473368253,2,18.7078012217,14.7351835129,17.7316679161,24.658757618,0.9761333055,0.0853829884,hst,0.9761333055,0.0853829884
3488,23.2274513481,0.0664414459,21.978100505,0.0283082788,1.2493508431,0.0722206645,2,18.5375046328,17.1324122258,17.1370072019,34.5970617565,1.4004974309,0.0703442414,hst,1.4004974309,0.0703442414
4019,24.3817355241,0.1751187427,23.4576681708,0.1227322563,0.9240673532,0.2138452262,3,,4.7916368336,,9.856219224,,,sdss,0.9240673532,0.2138452262
5103,23.3890872925,0.0677483116,23.0801365632,0.0556133676,0.3089507293,0.0876509006,3,,9.3954062708,,9.009276113,,,sdss,0.3089507293,0.0876509006
5550,23.4144737505,0.0665048136,22.836230071,0.0425491215,0.5782436794,0.0789513646,3,18.2930908842,12.6797977833,17.5250712751,19.4610759712,0.7680196091,0.1016587186,hst,0.7680196091,0.1016587186
6057,21.7996434992,0.014423145,21.1337384877,0.0087589517,0.6659050115,0.0168744288,1,19.6344935972,14.4325802808,18.863205586,20.4494848728,0.7712880112,0.0915906805,hst,0.7712880112,0.0915906805
6491,23.3188459564,0.0810488092,22.5129345364,0.040911799,0.80591142,0.0907892327,3,18.2196008252,12.029954919,17.4385495452,18.0326327285,0.7810512799,0.1079198503,hst,0.7810512799,0.1079198503
6614,22.7130685753,0.0389322299,22.0814158201,0.0366657123,0.6316527551,0.0534798371,2,18.4817814424,17.4217232055,17.7643197876,24.0180713148,0.7174616549,0.0765826929,hst,0.7174616549,0.0765826929
8297,,24.6087463029,26.8183144449,1.2603349712,,24.6409991445,1,,-0.8315509782,,-1.6235794652,,1.4592158249,hst,,1.4592158249
