,CID,Z,Z_ERR,SN_RA,SN_DEC,GAL_RA,GAL_DEC,HOST_OBJID,X0,X0_ERR,X1,X1_ERR,COLOR,COLOR_ERR,C01,C00,C11,C22,C02,C12,MU,MU_MB,MU_ERR,u,u uncert,g,g uncert,r,r uncert,i,i uncert,z,z uncert,fsps chi2,fsps const,logzsol,tau,sf_start,dust2,age,age uncert,HR
10,11120,0.10726449638605118,1.811299989640247e-05,-34.542999267578125,0.3703770041465759,-34.543209075927734,0.3703770041465759,1237663543680893015,0.00033195599098689854,1.2554999557323754e-05,0.07787629961967468,0.5873600244522095,-0.015269399620592594,0.03342660143971443,-4.696789801528212e-06,1.576279939907721e-10,0.3449920117855072,0.0011173400562256575,-3.6083301324651984e-07,0.01033560000360012,38.361698150634766,38.36621856689453,0.12300699949264526,27.423239607800504,7.68680058744593,24.600494906646393,0.17041463800950132,24.379200532931243,0.17825519779611082,23.980844746148946,0.153918867334019,23.369596611272335,0.3882672599714808,2.1231168543797274,-19.4017333984375,0.2,10.0,5.0,0.5,4.19456692818574,0.1215307785095956,-0.007484932282160628
11,11172,0.13632899522781372,9.399999726156238e-06,-37.58700180053711,-0.20220699906349182,-37.58732986450195,-0.20220999419689178,1237663543142646320,9.1259200416971e-05,5.06726019011694e-06,-1.3320399522781372,0.39704999327659607,0.07591039687395096,0.047856900840997696,-1.1527699825819582e-06,2.567719994961415e-11,0.1576489955186844,0.002290280070155859,-1.8156700321014796e-07,0.005981939844787121,39.17470169067383,39.18114471435547,0.10324399918317795,21.961039502266328,0.07582861741864824,21.021640996663578,0.013293947178936871,20.511915858463784,0.006909230393915369,20.170261340816854,0.006355614317156964,20.044870256443165,0.019299553146001992,100.95451697501316,-24.0283203125,-0.88,10.0,4.0,1.0,4.606524454334348,3.580579724763331e+20,0.24290083807987628
12,11181,0.34393998980522156,1.5899999198154546e-05,-2.9779999256134033,-0.14334599673748016,-2.978404998779297,-0.14326000213623047,1237657190903906573,3.307770020910539e-05,3.2629300221742596e-06,-0.07602520287036896,1.9543299674987793,-0.08091080188751221,0.09928110241889954,-5.381939899962163e-06,1.0646699667715698e-11,3.819430112838745,0.00985674001276493,-2.2201099625362986e-07,0.151310995221138,41.036800384521484,41.079368591308594,0.19106100499629974,23.638847844001244,0.7014607020992379,23.4620111214246,0.05507010689865381,22.8668162120791,0.03774924526581837,22.66991161100073,0.03856898659736608,22.414913369106184,0.11645329499468403,5.293163404487393,-22.80267333984375,-0.88,10.0,1.0,0.0,5.179828565111732,0.6205177046018537,-0.13851142271824557
13,1119,0.2978050112724304,1.160000010713702e-05,-39.58700180053711,0.8952029943466187,-39.58645248413086,0.8946499824523926,1237663458851619714,4.172939952695742e-05,2.511809952920885e-06,0.5479739904403687,1.4340300559997559,-0.137472003698349,0.05744269862771034,2.1427800334095082e-07,6.3091801748293985e-12,2.0564498901367188,0.003299660049378872,-6.034589716819028e-08,-0.013344399631023407,41.095699310302734,41.125091552734375,0.21870200335979462,24.97985479399375,0.7264658304342716,25.893163903799234,0.5561419932836311,25.98177228541179,1.062839726970713,24.356648081563247,0.3784452828828016,23.955185319278577,0.9482058112253795,4.001092200045097,-21.07781982421875,0.2,10.0,0.0,0.0,6.112806652613664,0.297659856677663,0.2741072203298742
14,11306,0.27351170778274536,5.1370101573411375e-05,56.73820114135742,-0.5176020264625549,56.73847961425781,-0.5183050036430359,1237666300021506130,5.125270035932772e-05,3.7976299154252047e-06,0.35570600628852844,0.7966349720954895,-0.055013399571180344,0.06522650271654129,-2.1069599824841134e-06,1.4422000052527473e-11,0.6346269845962524,0.004254499915987253,-1.399550058067689e-07,0.01882380060851574,40.57400131225586,40.59804153442383,0.23458099365234375,26.858137091448864,6.615739362936087,24.924633543291446,0.18955749001365596,23.630345559325235,0.06515264136664813,23.0857634772337,0.04774264681196706,22.56913528836254,0.13272941863274462,0.7432450578573537,-24.57269287109375,0.2,3.0,0.0,1.5,7.9853044695481525,0.0881541314782241,-0.03840032448000841
15,11311,0.20453210175037384,1.512180006102426e-05,47.01539993286133,0.4334770143032074,47.015254974365234,0.4335330128669739,1237660241386078475,7.849829853512347e-05,3.7196800803940278e-06,-1.1104999780654907,0.698170006275177,0.0019165000412613153,0.048148900270462036,-1.3802000466967002e-06,1.3836000054001651e-11,0.4874419867992401,0.002318320097401738,-1.2486999878547067e-07,0.013145199976861477,39.61669921875,39.629722595214844,0.17032399773597717,23.312507723544172,0.17790147941758638,22.24128444624434,0.022308486082139693,21.256851511236693,0.011808927520638376,20.797445245603118,0.011038110325066859,20.511915858463784,0.0279244068902488,9.210372952163508,-25.53521728515625,-0.88,4.0,0.0,1.5,8.07336648955658,5.880730236401482,-0.2860570975203274
16,11540,0.21653799712657928,6.690000009257346e-05,40.06460189819336,0.5702469944953918,40.06464385986328,0.5702599883079529,1237663784751792477,6.245160329854116e-05,3.3077699299610686e-06,-1.5287799835205078,0.6976190209388733,-0.04809369891881943,0.0562921017408371,-1.3126300473231822e-06,1.0941299949385197e-11,0.4866720139980316,0.003168809926137328,-1.2341300248408515e-07,0.0179383996874094,39.930301666259766,39.94489288330078,0.1241070032119751,24.01893213122465,0.34257078958562864,22.512329500836433,0.03060626850181691,21.20030445311543,0.010965755013114552,20.704897295060576,0.009850036944590095,20.41788375877703,0.02604712352005743,5.444066069530574,-25.69830322265625,-0.2,0.5,1.0,0.3,9.743682827670773,0.9691107243551371,-0.11090801039466669
17,1166,0.38207700848579407,9.980000322684646e-05,9.355290412902832,0.973950982093811,9.355609893798828,0.9732750058174133,1237663716555293384,2.741759999480564e-05,1.973630105567281e-06,1.3583400249481201,1.045609951019287,0.0012215400347486138,0.06565099954605103,-1.502980012446642e-06,3.895220083982576e-12,1.0932999849319458,0.004310050047934055,-4.9372200550124035e-08,0.02130039967596531,41.294898986816406,41.35227966308594,0.1986120045185089,25.31164935575058,1.4128515897513128,25.360129593840814,0.336219922194862,25.3333809022288,0.5451038002922695,24.060038632994207,0.2517448604543473,23.49589709118789,0.5571600124485894,3.6697707586411767,-22.61669921875,0.2,3.0,0.0,0.0,7.091426084562353,0.35898870210689177,-0.13647814523649515
18,11771,0.2574650049209595,3.3799999073380604e-05,15.231100082397461,-0.5263469815254211,15.230623245239258,-0.5259799957275391,1237666338651504852,2.0538400349323638e-05,2.0900599793094443e-06,-0.4105890095233917,1.821120023727417,0.24607600271701813,0.10236900299787521,-2.2141000499686925e-06,4.368369815183071e-12,3.3164899349212646,0.010479399934411049,-1.6185799722734373e-07,0.0854111984372139,40.46310043334961,40.48402404785156,0.23365800082683563,23.952219448415207,0.0,23.82154446165317,0.0,22.78878260644712,0.0,22.369430857041138,0.0,22.023023515657844,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-0.0009737389511741412
19,11996,0.2867029905319214,2.4499999199179e-05,37.83409881591797,-0.9017689824104309,37.834041595458984,-0.9017599821090698,1237666406848397527,3.07416012219619e-05,2.5981701128330315e-06,-0.3430429995059967,1.1085100173950195,-0.04367069900035858,0.09271900355815887,-1.8841100200006622e-06,6.7504699746701036e-12,1.228790044784546,0.008596809580922127,-1.1626700313627225e-07,0.05065289884805679,40.94260025024414,40.96934127807617,0.22197599709033966,23.910977635788356,0.46083470024178386,22.16728783362688,0.017308391474190006,20.87426932271665,0.007378724792656911,20.339495445542283,0.006511964511218751,19.97487635897822,0.015821478871811817,1.1560499131255317,-27.11962890625,-0.88,2.0,1.0,1.5,7.627061780632755,0.13006431932107915,0.2143465444121162
