# Definitions of the elliptial shape of galaxies found from using sep & sigma=1.5
# SN number, x, y, a, b, theta
# int, pixel, pixel, pixel, pixel, radians
1.487100000000000000e+04,1.026365939461202288e+03,1.069717518083245068e+03,9.379708290100097656e+00,4.259522914886474609e+00,1.368019580841064453e+00
1.498400000000000000e+04,1.036428585153419363e+03,1.081710974846270346e+03,2.804222297668457031e+01,2.206340217590332031e+01,-1.380720019340515137e+00
1.517100000000000000e+04,1.057933066792853197e+03,1.082818367027679869e+03,7.007840156555175781e+00,3.829181909561157227e+00,-1.499987721443176270e+00
1.522200000000000000e+04,1.046093753757417062e+03,1.142927098298775945e+03,3.537216567993164062e+01,1.737026786804199219e+01,-1.446342587471008301e+00
1.522900000000000000e+04,1.027788024111796403e+03,1.055262680659034913e+03,5.828410625457763672e+00,3.889768600463867188e+00,-1.845340877771377563e-01
1.534500000000000000e+04,1.062974545543601607e+03,1.032972683600783057e+03,1.463080787658691406e+01,4.757543563842773438e+00,6.973495334386825562e-02
1.546100000000000000e+04,1.106051444020121608e+03,1.003102277239004479e+03,2.423639297485351562e+01,1.987259101867675781e+01,-5.588105320930480957e-01
1.558700000000000000e+04,1.095296884582192433e+03,9.698756406180482372e+02,3.664873504638671875e+01,1.654463005065917969e+01,-1.270717501640319824e+00
1.585000000000000000e+04,1.144069292480883178e+03,9.288149597365845693e+02,1.812243080139160156e+01,1.308119964599609375e+01,-1.004426702857017517e-01
1.720800000000000000e+04,1.067726798181492995e+03,1.111826579095543821e+03,5.226797103881835938e+00,4.035229682922363281e+00,7.458032965660095215e-01
1.737100000000000000e+04,1.119203248753771049e+03,1.076516048143974331e+03,1.488544464111328125e+01,8.186287879943847656e+00,-2.609221339225769043e-01
1.774500000000000000e+04,1.048382885828597864e+03,1.054520932447819177e+03,2.350863075256347656e+01,1.807955360412597656e+01,-6.339059472084045410e-01
1.788400000000000000e+04,1.026228870977074621e+03,1.059790495189632111e+03,1.328009319305419922e+01,1.068908691406250000e+01,-3.057536780834197998e-01
1.788600000000000000e+04,9.806866406091247654e+02,9.766038675391546349e+02,1.008153076171875000e+02,6.540422058105468750e+01,-1.460690736770629883e+00
1.803000000000000000e+04,1.028782681531689605e+03,1.026966615509168832e+03,1.657145309448242188e+01,1.252592849731445312e+01,-3.944086730480194092e-01
1.824100000000000000e+04,1.070109903424447111e+03,1.054424802975722059e+03,1.595934295654296875e+01,1.039810085296630859e+01,1.110378623008728027e+00
1.832300000000000000e+04,9.970799841505789800e+02,1.062169945914054324e+03,1.456719207763671875e+01,4.405976772308349609e+00,-3.000296056270599365e-01
1.841500000000000000e+04,1.023933917972025711e+03,8.950863731903348253e+02,8.377457618713378906e+00,7.344385623931884766e+00,1.303195357322692871e+00
1.860200000000000000e+04,1.076306431388459941e+03,1.027400155982694287e+03,1.488201427459716797e+01,4.807692050933837891e+00,7.501063346862792969e-01
1.883500000000000000e+04,1.058881969136816679e+03,1.130557002678929393e+03,2.881870651245117188e+01,2.225837326049804688e+01,-8.566055893898010254e-01
1.902300000000000000e+04,1.318454547568995622e+03,1.007141546650207147e+03,2.025739288330078125e+01,1.273827362060546875e+01,9.390007853507995605e-01
1.904800000000000000e+04,1.046364209519921815e+03,1.135074868605851179e+03,1.743865013122558594e+01,1.536818695068359375e+01,-1.152928829193115234e+00
1.917400000000000000e+04,1.023328716251088281e+03,1.059919077264354200e+03,2.642809104919433594e+01,7.710216522216796875e+00,-1.012924671173095703e+00
1.928200000000000000e+04,9.383389764302735330e+02,9.357987374683032158e+02,4.711500644683837891e+00,3.588369846343994141e+00,1.202085971832275391e+00
1.932300000000000000e+04,9.557949344149826629e+02,1.065759653988787932e+03,4.504853820800781250e+01,3.938394165039062500e+01,1.098744153976440430e+00
1.961600000000000000e+04,1.119759165994631985e+03,1.169193978291587200e+03,2.909423446655273438e+01,2.184365653991699219e+01,1.509902119636535645e+00
2.035000000000000000e+04,9.146787824420184734e+02,1.125655453806139349e+03,3.485768508911132812e+01,2.558687973022460938e+01,1.366600751876831055e+00
2.087400000000000000e+04,1.071589583733602694e+03,1.101688867366310433e+03,1.361129665374755859e+01,9.944816589355468750e+00,-4.750000238418579102e-01
2.102000000000000000e+03,1.035695244134708219e+03,1.086356788695467003e+03,1.250271320343017578e+01,5.739716529846191406e+00,4.799875915050506592e-01
2.440000000000000000e+03,1.065710072706883466e+03,1.046739935549611346e+03,1.747404670715332031e+01,1.036539363861083984e+01,5.617119669914245605e-01
2.561000000000000000e+03,1.168522523271625914e+03,1.181472018272682590e+03,6.181909561157226562e+01,1.501601314544677734e+01,6.910892128944396973e-01
2.635000000000000000e+03,1.026464921354187027e+03,1.049147827037792922e+03,2.486210823059082031e+01,1.838684654235839844e+01,-1.525913357734680176e+00
2.992000000000000000e+03,1.084983310916069740e+03,1.081293707542517723e+03,2.625452423095703125e+01,1.863628196716308594e+01,-7.408868074417114258e-01
3.488000000000000000e+03,1.066839228112999763e+03,1.039588289683196081e+03,6.983877658843994141e+00,5.498462677001953125e+00,1.287840843200683594e+00
4.019000000000000000e+03,9.607115997679059092e+02,1.026627363130904769e+03,3.052497291564941406e+01,2.755052757263183594e+01,-9.858020544052124023e-01
5.103000000000000000e+03,1.039785353860170062e+03,1.077182520625980260e+03,1.146041488647460938e+01,7.317877769470214844e+00,-1.219822168350219727e+00
5.550000000000000000e+03,1.029743180513255538e+03,1.043897026640751619e+03,1.810755920410156250e+01,1.360098171234130859e+01,9.334335327148437500e-01
6.057000000000000000e+03,1.051886367437546824e+03,1.090582738993697831e+03,4.632559204101562500e+01,3.946342849731445312e+01,-6.301572322845458984e-01
6.491000000000000000e+03,9.592873950826781311e+02,9.576034957053142307e+02,7.099024200439453125e+01,3.711793899536132812e+01,3.767449855804443359e-01
6.614000000000000000e+03,1.004232453908775369e+03,1.029787669665244948e+03,1.883002281188964844e+01,1.711668586730957031e+01,6.664754152297973633e-01
8.297000000000000000e+03,1.065535514954323844e+03,8.151033322100860232e+02,4.769577026367187500e+00,2.553556680679321289e+00,-8.552162647247314453e-01
