# first row is the best fit index and second row is the best fit values for ['logzsol', 'tau', 'sf_star', 'dust2']
5.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000111e-01,1.000000000000000000e+01,7.000000000000000000e+00,2.999999999999999889e-01
