# first row is the best fit index and second row is the best fit values for ['logzsol', 'tau', 'sf_star', 'dust2']
3.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
-2.000000000000000111e-01,4.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00
