# first row is the best fit index and second row is the best fit values for ['logzsol', 'tau', 'sf_star', 'dust2']
0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
-8.800000000000000044e-01,5.000000000000000000e-01,7.000000000000000000e+00,1.000000000000000056e-01
