# first row is the best fit index and second row is the best fit values for ['logzsol', 'tau', 'sf_star', 'dust2']
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
-8.800000000000000044e-01,1.000000000000000056e-01,3.000000000000000000e+00,5.000000000000000000e-01
