# first row is the best fit index and second row is the best fit values for ['logzsol', 'tau', 'sf_star', 'dust2']
2.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
-3.900000000000000133e-01,6.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
